計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,冷蔵庫・キッチン,テレビ、リビング電灯,食器洗乾燥機・キッチン,エアコン・リビング,浴室乾燥機・浴室,主寝室・エアコン電灯,未使用,洗面・洗濯機、コンセント,キッチン・電子レンジ炊飯,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180601,-,-,-,8604,0,4759,2187,454,0,0,0,0,36,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8604,-,-,-,-,-,-,-,-
20180602,-,-,-,8030,0,4527,2472,0,0,0,0,0,85,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8030,-,-,-,-,-,-,-,-
20180603,-,-,-,8793,0,4858,2801,0,0,0,0,0,38,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8793,-,-,-,-,-,-,-,-
20180604,-,-,-,9092,0,4648,2625,444,0,0,0,0,34,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9092,-,-,-,-,-,-,-,-
20180605,-,-,-,9330,0,4937,3009,0,0,0,0,0,40,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9330,-,-,-,-,-,-,-,-
20180606,-,-,-,8035,0,4479,2652,0,0,0,0,0,37,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8035,-,-,-,-,-,-,-,-
20180607,-,-,-,7861,0,4465,2422,0,0,0,0,0,45,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7861,-,-,-,-,-,-,-,-
20180608,-,-,-,9030,0,4863,2809,442,0,0,0,0,41,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9030,-,-,-,-,-,-,-,-
20180609,-,-,-,9838,0,5078,2615,0,1942,0,0,0,81,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9838,-,-,-,-,-,-,-,-
20180610,-,-,-,9722,0,5032,3041,0,714,0,0,0,36,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9722,-,-,-,-,-,-,-,-
