計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHクッキングヒーター,食洗機,エコキュート,居間エアコン,エアコン・場所不明,キッチン電灯,未使用,リビング電灯,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
2018040900+0900,-,-,-,1843,0,0,0,1015,0,0,88,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,-,-,178,-,-,-,-,-
2018040901+0900,-,-,-,1813,0,0,0,1007,0,0,87,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,-,-,5,-,-,-,-,-
2018040902+0900,-,-,-,1616,0,0,0,1000,0,0,88,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,-,-,0,-,-,-,-,-
2018040903+0900,-,-,-,1747,0,0,0,1042,0,0,181,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,-,-,0,-,-,-,-,-
2018040904+0900,-,-,-,1748,0,0,0,1046,0,0,126,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,-,-,0,-,-,-,-,-
2018040905+0900,-,-,-,886,0,0,0,0,0,0,106,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,-,-,0,-,-,-,-,-
2018040906+0900,-,-,-,1594,0,585,113,0,0,0,139,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594,-,-,123,-,-,-,-,-
2018040907+0900,-,-,-,1113,0,2,18,309,0,0,148,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,-,-,120,-,-,-,-,-
2018040908+0900,-,-,-,1279,0,96,12,65,0,0,135,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,-,-,84,-,-,-,-,-
2018040909+0900,-,-,-,1921,0,0,0,0,0,0,97,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,-,-,9,-,-,-,-,-
2018040910+0900,-,-,-,1188,0,228,0,0,0,0,91,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,-,-,7,-,-,-,-,-
2018040911+0900,-,-,-,1862,0,836,0,0,0,0,98,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,-,-,14,-,-,-,-,-
2018040912+0900,-,-,-,1680,0,721,54,0,0,0,109,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,-,-,23,-,-,-,-,-
2018040913+0900,-,-,-,702,0,0,0,0,0,0,89,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,-,-,0,-,-,-,-,-
2018040914+0900,-,-,-,1005,0,0,0,0,0,0,94,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,-,-,0,-,-,-,-,-
2018040915+0900,-,-,-,921,0,0,0,0,0,0,95,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,-,-,15,-,-,-,-,-
2018040916+0900,-,-,-,390,0,0,0,0,0,0,94,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,-,-,0,-,-,-,-,-
2018040917+0900,-,-,-,574,0,143,0,0,0,0,96,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,-,-,0,-,-,-,-,-
2018040918+0900,-,-,-,1616,0,651,52,0,0,0,141,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,-,-,10,-,-,-,-,-
2018040919+0900,-,-,-,1557,0,493,0,0,0,0,150,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,-,-,54,-,-,-,-,-
2018040920+0900,-,-,-,1032,0,0,23,0,0,0,153,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,-,-,60,-,-,-,-,-
2018040921+0900,-,-,-,1059,0,0,0,0,0,0,110,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,-,-,10,-,-,-,-,-
2018040922+0900,-,-,-,2896,0,0,0,978,0,0,98,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2896,-,-,253,-,-,-,-,-
2018040923+0900,-,-,-,1765,0,0,0,1042,0,0,110,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,-,-,57,-,-,-,-,-
