計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングエアコン,主寝室エアコン,和室エアコン,倉庫照明・冷蔵庫・冷凍庫,LDK電灯コンセント,洗濯機・玄関洗面コンセン,未使用,和室・電灯コンセント,2F電灯・コンセント,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
2018031100+0900,-,-,-,983,0,0,0,0,171,344,239,0,206,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,-,-,-,-,-,-,-,-
2018031101+0900,-,-,-,960,0,0,0,0,174,322,332,0,106,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,-,-,-,-,-,-,-,-
2018031102+0900,-,-,-,490,0,0,0,0,149,131,158,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,-,-,-,-,-,-,-,-
2018031103+0900,-,-,-,469,0,0,0,0,128,133,160,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,-,-,-,-,-,-,-,-
2018031104+0900,-,-,-,502,0,0,0,0,165,137,160,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,-,-,-,-,-,-,-,-
2018031105+0900,-,-,-,527,0,0,0,43,146,137,161,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,-,-,-,-,-,-,-,-
2018031106+0900,-,-,-,1331,0,0,0,519,146,463,156,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,-,-,-,-,-,-,-,-
2018031107+0900,-,-,-,666,0,0,0,0,100,362,162,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,-,-,-,-,-,-,-,-
2018031108+0900,-,-,-,970,0,0,0,0,187,313,210,0,234,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,-,-,-,-,-,-,-,-
2018031109+0900,-,-,-,594,0,0,0,0,97,271,121,0,89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,-,-,-,-,-,-,-,-
2018031110+0900,-,-,-,1655,0,0,0,136,198,555,209,0,524,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655,-,-,-,-,-,-,-,-
2018031111+0900,-,-,-,1316,0,0,0,254,178,446,168,0,239,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,-,-,-,-,-,-,-,-
2018031112+0900,-,-,-,1229,0,0,0,0,209,651,159,0,163,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,-,-,-,-,-,-,-,-
2018031113+0900,-,-,-,1193,0,0,0,0,161,427,159,0,407,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,-,-,-,-,-,-,-,-
2018031114+0900,-,-,-,1924,0,0,0,0,257,437,157,0,1048,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924,-,-,-,-,-,-,-,-
2018031115+0900,-,-,-,1193,0,0,0,0,212,290,162,0,493,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,-,-,-,-,-,-,-,-
2018031116+0900,-,-,-,965,0,0,0,0,212,268,155,0,304,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,-,-,-,-,-,-,-,-
2018031117+0900,-,-,-,945,0,0,0,0,207,261,157,0,297,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,-,-,-,-,-,-,-,-
2018031118+0900,-,-,-,1222,0,0,0,0,200,491,161,0,343,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,-,-,-,-,-,-,-,-
2018031119+0900,-,-,-,1147,0,0,0,0,163,451,199,0,306,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,-,-,-,-,-,-,-,-
