計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC,仏間AC・200V,未使用,未使用,冷蔵洗濯・リビング照明コ,2Fエアコン,未使用,専用回路・電話機・ONU,未使用,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20171201,-,-,-,22653,0,11102,0,0,0,11014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22653,-,-,-,-,-,-,-,-
20171202,-,-,-,23964,0,10083,0,0,0,13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23964,-,-,-,-,-,-,-,-
20171203,-,-,-,19009,0,5703,1172,0,0,11648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19009,-,-,-,-,-,-,-,-
20171204,-,-,-,19287,0,8219,0,0,0,10646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19287,-,-,-,-,-,-,-,-
20171205,-,-,-,24467,0,11079,0,0,0,12820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24467,-,-,-,-,-,-,-,-
20171206,-,-,-,21932,0,9753,0,0,0,11555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21932,-,-,-,-,-,-,-,-
20171207,-,-,-,23313,0,9699,0,0,0,12967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23313,-,-,-,-,-,-,-,-
20171208,-,-,-,22479,0,11134,0,0,0,10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22479,-,-,-,-,-,-,-,-
20171209,-,-,-,31365,0,17345,0,0,0,13444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31365,-,-,-,-,-,-,-,-
20171210,-,-,-,27543,0,12868,0,0,0,14140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27543,-,-,-,-,-,-,-,-
20171211,-,-,-,24393,0,10624,0,0,0,13176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24393,-,-,-,-,-,-,-,-
20171212,-,-,-,28010,0,14363,0,0,0,13071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28010,-,-,-,-,-,-,-,-
20171213,-,-,-,28203,0,13292,0,0,0,14253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28203,-,-,-,-,-,-,-,-
20171214,-,-,-,21520,0,8903,0,0,0,11983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21520,-,-,-,-,-,-,-,-
20171215,-,-,-,21430,0,9782,0,0,0,11035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21430,-,-,-,-,-,-,-,-
20171216,-,-,-,27140,0,13689,0,0,0,12827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27140,-,-,-,-,-,-,-,-
20171217,-,-,-,32124,0,16084,0,0,0,15412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32124,-,-,-,-,-,-,-,-
20171218,-,-,-,25469,0,12064,0,0,0,12747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25469,-,-,-,-,-,-,-,-
20171219,-,-,-,23409,0,10759,0,0,0,12164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23409,-,-,-,-,-,-,-,-
20171220,-,-,-,19867,0,6966,0,0,0,12277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19867,-,-,-,-,-,-,-,-
20171221,-,-,-,23663,0,10631,0,0,0,12377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23663,-,-,-,-,-,-,-,-
20171222,-,-,-,26323,0,12838,0,0,0,12836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26323,-,-,-,-,-,-,-,-
20171223,-,-,-,29212,0,14353,0,0,0,14192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29212,-,-,-,-,-,-,-,-
20171224,-,-,-,21929,0,7575,0,0,0,13745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21929,-,-,-,-,-,-,-,-
20171225,-,-,-,23841,0,10470,0,0,0,12791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23841,-,-,-,-,-,-,-,-
20171226,-,-,-,26689,0,12164,0,0,0,13870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26689,-,-,-,-,-,-,-,-
20171227,-,-,-,23159,0,10003,0,0,0,12534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23159,-,-,-,-,-,-,-,-
20171228,-,-,-,24883,0,10811,0,0,0,13426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24883,-,-,-,-,-,-,-,-
20171229,-,-,-,35362,0,19079,0,0,0,15679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35362,-,-,-,-,-,-,-,-
20171230,-,-,-,32289,0,17107,0,0,0,14555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32289,-,-,-,-,-,-,-,-
20171231,-,-,-,27364,0,10927,0,0,0,15805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27364,-,-,-,-,-,-,-,-
