計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,リビングAC・200V,主寝室AC・200V,キッチンAC,冷蔵庫,食洗機,洗濯機,未使用,電子レンジ,寝室・キッチン電灯,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
20180501,-,-,-,11812,4563,561,0,0,3019,9,92,0,21,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,-,-,-,-,-,-,-,-
20180502,-,-,-,17567,0,614,0,0,3250,826,0,0,193,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17567,-,-,-,-,-,-,-,-
20180503,-,-,-,18169,10582,577,0,0,3153,914,101,0,240,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7587,-,-,-,-,-,-,-,-
20180504,-,-,-,26046,10181,564,0,0,3028,870,703,0,55,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15865,-,-,-,-,-,-,-,-
20180505,-,-,-,19565,6734,541,0,0,3068,872,835,0,108,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12831,-,-,-,-,-,-,-,-
20180506,-,-,-,30783,0,632,0,0,2782,12,83,0,51,2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30783,-,-,-,-,-,-,-,-
20180507,-,-,-,22134,181,592,0,0,3126,846,0,0,76,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21953,-,-,-,-,-,-,-,-
20180508,-,-,-,28996,57,645,129,0,3035,894,0,0,212,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28939,-,-,-,-,-,-,-,-
20180509,-,-,-,22171,8059,619,0,0,2885,1763,99,0,102,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14112,-,-,-,-,-,-,-,-
20180510,-,-,-,19043,9911,557,0,0,3001,877,646,0,157,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10298,-,-,-,-,-,-,-,-
20180511,-,-,-,19966,9142,529,0,0,2988,718,1009,0,95,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9658,-,-,-,-,-,-,-,-
20180512,-,-,-,9130,11623,513,0,0,2958,155,0,0,103,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720,-,-,-,-,-,-,-,-
20180513,-,-,-,10974,81,538,0,0,2751,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,-,-,-,-,-,-,-,-
20180514,-,-,-,6569,10960,528,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3323,-,-,-,-,-,-,-,-
20180515,-,-,-,6615,10827,481,0,0,2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
20180516,-,-,-,8765,7839,482,0,299,2999,7,0,0,82,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
20180517,-,-,-,20576,494,4807,0,193,3335,20,682,0,96,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9082,-,-,-,-,-,-,-,-
20180518,-,-,-,17806,484,1761,0,0,3432,733,780,0,343,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17322,-,-,-,-,-,-,-,-
20180519,-,-,-,12803,10164,765,0,0,2999,875,0,0,61,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4910,-,-,-,-,-,-,-,-
20180520,-,-,-,9760,8866,534,0,0,2855,68,97,0,79,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,-,-,-,-,-,-,-,-
20180521,-,-,-,12186,11170,481,0,0,3022,807,0,0,88,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583,-,-,-,-,-,-,-,-
20180522,-,-,-,11971,7932,479,0,540,3322,806,626,0,142,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
20180523,-,-,-,14476,2082,502,0,0,3320,801,760,0,208,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11503,-,-,-,-,-,-,-,-
20180524,-,-,-,8935,9779,488,0,0,3291,16,0,0,99,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,-,-,-,-,-,-,-,-
20180525,-,-,-,13105,6727,487,0,934,3367,1579,89,0,189,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,-,-,-,-,-,-,-,-
20180526,-,-,-,11518,7414,487,0,20,3371,779,0,0,191,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297,-,-,-,-,-,-,-,-
20180527,-,-,-,12970,7944,2005,0,0,3482,789,119,0,118,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3889,-,-,-,-,-,-,-,-
20180528,-,-,-,15069,498,425,0,0,3714,785,1054,0,74,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14515,-,-,-,-,-,-,-,-
20180529,-,-,-,12878,4081,475,0,1254,3732,783,501,0,94,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8797,-,-,-,-,-,-,-,-
20180530,-,-,-,13086,6142,4944,0,0,3495,773,94,0,48,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6944,-,-,-,-,-,-,-,-
20180531,-,-,-,15140,7,463,0,0,3594,792,76,0,81,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15133,-,-,-,-,-,-,-,-
