計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,エアコン・リビング,ＩＨ・キッチン,エコキュート,キッチン・冷蔵庫　電レ,テレビ,リビング・キッチン照明　,未使用,キッチン　炊飯器,洗濯機、トイレ照明　便座,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
2017122200+0900,-,-,-,359,0,53,0,390,66,46,75,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,-,-,-,-,-,-,-,-
2017122201+0900,-,-,-,302,0,53,0,1592,68,0,75,0,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,-,-,-,-,-,-,-,-
2017122202+0900,-,-,-,303,0,53,0,1317,70,0,75,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,-,-,-,-,-,-,-,-
2017122203+0900,-,-,-,307,0,53,0,0,67,0,76,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,-,-,-,-,-,-,-,-
2017122204+0900,-,-,-,303,0,53,0,0,67,0,75,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,-,-,-,-,-,-,-,-
2017122205+0900,-,-,-,288,0,53,0,0,67,2,57,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,-,-,-,-,-,-,-,-
2017122206+0900,-,-,-,266,0,54,0,0,62,17,23,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,-,-,-,-,-,-,-,-
2017122207+0900,-,-,-,2210,0,1347,0,0,452,127,113,0,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,-,-,-,-,-,-,-,-
2017122208+0900,-,-,-,346,0,20,0,0,158,8,46,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,-,-,-,-,-,-,-,-
2017122209+0900,-,-,-,233,0,52,0,0,88,0,23,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,-,-,-,-,-,-,-,-
2017122210+0900,-,-,-,219,0,52,0,0,71,0,23,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-,-,-,-,-,-,-,-
2017122211+0900,-,-,-,221,0,52,0,0,76,0,23,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,-,-,-,-,-,-,-,-
2017122212+0900,-,-,-,266,0,52,0,0,117,9,24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,-,-,-,-,-,-,-,-
2017122213+0900,-,-,-,266,0,52,0,0,73,70,23,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,-,-,-,-,-,-,-,-
2017122214+0900,-,-,-,203,0,53,0,0,73,0,23,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,-,-,-,-,-,-,-,-
2017122215+0900,-,-,-,206,0,52,0,0,79,0,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,-,-,-,-,-,-,-,-
2017122216+0900,-,-,-,209,0,52,0,0,83,0,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,-,-,-,-,-,-,-,-
2017122217+0900,-,-,-,203,0,52,0,0,75,0,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,-,-,-,-,-,-,-,-
2017122218+0900,-,-,-,2081,0,1679,0,0,72,90,166,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081,-,-,-,-,-,-,-,-
2017122219+0900,-,-,-,2082,0,1552,0,0,204,128,121,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,-,-,-,-,-,-,-,-
2017122220+0900,-,-,-,1703,0,1356,0,0,88,129,67,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703,-,-,-,-,-,-,-,-
