計測日時,太陽光発電(創蓄パワコン),蓄電池充電,蓄電池放電,主幹買電,主幹売電,IHクッキングヒーター,食洗機,エコキュート,居間エアコン,エアコン・場所不明,キッチン電灯,未使用,リビング電灯,不明,増設1,増設2,増設3,増設4,増設5,増設6,増設7,増設8,増設9,増設10,増設11,増設12,増設13,増設14,増設15,増設16,増設17,増設18,増設19,増設20,増設21,増設22,増設23,増設24,増設25,増設26,増設27,増設28,増設29,増設30,使用電力量,ガス使用量,水使用量,お湯使用量,燃料電池ガス使用量,補助熱源ガス使用量,燃料電池お湯使用量,補助熱源お湯使用量,燃料電池排熱回収量
2018020700+0900,-,-,-,4243,0,0,0,1226,1218,0,85,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,-,-,320,-,-,-,-,-
2018020701+0900,-,-,-,3846,0,0,0,1346,1051,0,77,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3846,-,-,6,-,-,-,-,-
2018020702+0900,-,-,-,4976,0,0,0,1340,1029,0,138,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4976,-,-,27,-,-,-,-,-
2018020703+0900,-,-,-,5358,0,0,0,1332,1028,0,164,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5358,-,-,9,-,-,-,-,-
2018020704+0900,-,-,-,5091,0,85,47,1209,1029,0,133,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5091,-,-,20,-,-,-,-,-
2018020705+0900,-,-,-,4735,0,0,0,1803,676,0,98,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4735,-,-,0,-,-,-,-,-
2018020706+0900,-,-,-,2872,0,276,0,355,0,0,114,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2872,-,-,28,-,-,-,-,-
2018020707+0900,-,-,-,1882,0,0,0,0,0,0,93,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882,-,-,2,-,-,-,-,-
2018020708+0900,-,-,-,1329,0,0,0,0,0,0,87,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,-,-,75,-,-,-,-,-
2018020709+0900,-,-,-,2207,0,0,0,0,0,0,81,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2207,-,-,55,-,-,-,-,-
2018020710+0900,-,-,-,1666,0,0,0,0,0,0,83,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,-,-,13,-,-,-,-,-
2018020711+0900,-,-,-,2665,0,345,20,0,887,0,79,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,-,-,7,-,-,-,-,-
2018020712+0900,-,-,-,2504,0,18,29,0,1263,0,78,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,-,-,41,-,-,-,-,-
